strat_id,strat_name,dt,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
0,period5_devfactor2.0,2015-10-25,172.5,172.5,172.5
0,period5_devfactor2.0,2015-10-26,172.5,172.5,172.5
0,period5_devfactor2.0,2015-10-27,172.6,173.00000000000435,172.19999999999564
0,period5_devfactor2.0,2015-10-28,172.7,173.18989794856196,172.210102051438
0,period5_devfactor2.0,2015-10-29,173.5,176.53315017762014,170.46684982237986
0,period5_devfactor2.0,2015-10-30,174.3,177.91109401705066,170.68890598294936
0,period5_devfactor2.0,2015-10-31,175.1,178.5292856398978,171.67071436010218
0,period5_devfactor2.0,2015-11-01,,,
0,period5_devfactor2.0,2015-11-02,,,
0,period5_devfactor2.0,2015-11-03,,,
0,period5_devfactor2.0,2015-11-04,,,
0,period5_devfactor2.0,2015-11-05,,,
0,period5_devfactor2.0,2015-11-06,,,
0,period5_devfactor2.0,2015-11-07,,,
0,period5_devfactor2.0,2015-11-08,,,
0,period5_devfactor2.0,2015-11-09,,,
0,period5_devfactor2.0,2015-11-10,,,
0,period5_devfactor2.0,2015-11-11,,,
0,period5_devfactor2.0,2015-11-12,,,
0,period5_devfactor2.0,2015-11-13,,,
0,period5_devfactor2.0,2015-11-14,,,
0,period5_devfactor2.0,2015-11-15,,,
0,period5_devfactor2.0,2015-11-16,,,
0,period5_devfactor2.0,2015-11-17,,,
0,period5_devfactor2.0,2015-11-18,,,
0,period5_devfactor2.0,2015-11-19,,,
0,period5_devfactor2.0,2015-11-20,,,
0,period5_devfactor2.0,2015-11-21,169.68354601782232,171.81587884290536,167.55121319273928
0,period5_devfactor2.0,2015-11-22,168.9744812030075,171.16760077003477,166.78136163598026
0,period5_devfactor2.0,2015-11-23,168.37935449735448,170.33016992383597,166.428539070873
0,period5_devfactor2.0,2015-11-24,167.4094945533769,170.12790436730225,164.69108473945155
0,period5_devfactor2.0,2015-11-25,166.45792903828197,169.33881052924545,163.5770475473185
0,period5_devfactor2.0,2015-11-26,165.64317647058823,168.69001392589266,162.5963390152838
0,period5_devfactor2.0,2015-11-27,164.79921568627452,167.6409279457962,161.95750342675285
0,period5_devfactor2.0,2015-11-28,163.8627450980392,165.4821582753487,162.2433319207297
0,period5_devfactor2.0,2015-11-29,163.2901960784314,164.90960925572742,161.67078290113537
0,period5_devfactor2.0,2015-11-30,162.71764705882353,164.33706023612854,161.09823388151852
0,period5_devfactor2.0,2015-12-01,158.34509803921569,174.73025838115288,141.9599376972785
0,period5_devfactor2.0,2015-12-02,153.38705882352943,174.96584482341254,131.80827282364632
0,period5_devfactor2.0,2015-12-03,146.28366274509804,173.53700873676632,119.03031675342976
0,period5_devfactor2.0,2015-12-04,139.29477647058823,164.5420977166415,114.04745522453496
0,period5_devfactor2.0,2015-12-05,132.4204,145.39628904186037,119.44451095813965
0,period5_devfactor2.0,2015-12-06,129.00516923076924,138.66240270236293,119.34793575917557
0,period5_devfactor2.0,2015-12-07,125.39279423076923,130.6519856301095,120.13360283142896
0,period5_devfactor2.0,2015-12-08,122.77488311965813,132.7474272708008,112.80233896851544
0,period5_devfactor2.0,2015-12-09,120.15474978632479,130.94938140655725,109.36011816609233
0,period5_devfactor2.0,2015-12-10,117.87719709815273,126.31167611722975,109.44271807907572
0,period5_devfactor2.0,2015-12-11,116.09307302867383,120.7291539093838,111.45699214796386
0,period5_devfactor2.0,2015-12-12,115.17964157706092,116.93796497313974,113.4213181809821
0,period5_devfactor2.0,2015-12-13,115.62193548387094,117.18425665782448,114.05961430991741
0,period5_devfactor2.0,2015-12-14,116.10516129032257,116.64687553088096,115.56344704976418
0,period5_devfactor2.0,2015-12-15,115.45410138248849,118.3862914247962,112.52191134018078
0,period5_devfactor2.0,2015-12-16,114.66807987711213,118.54493769033601,110.79122206388826
0,period5_devfactor2.0,2015-12-17,114.0075960061444,117.9641027151606,110.05108929712819
0,period5_devfactor2.0,2015-12-18,113.35587557603685,116.57767559555359,110.13407555652012
0,period5_devfactor2.0,2015-12-19,112.76453149001536,113.77676816272725,111.75229481730346
0,period5_devfactor2.0,2015-12-20,112.87030107526883,113.88446330128944,111.85613884924821
0,period5_devfactor2.0,2015-12-21,113.18819354838709,113.97436638467875,112.40202071209544
0,period5_devfactor2.0,2015-12-22,113.52222580645162,114.38678161145756,112.65767000144567
0,period5_devfactor2.0,2015-12-23,110.329688172043,123.57838530817057,97.08099103591545
0,period5_devfactor2.0,2015-12-24,106.99225806451614,123.34803018778132,90.63648594125095
0,period5_devfactor2.0,2015-12-25,103.7036129032258,120.44342033041173,86.96380547603988
0,period5_devfactor2.0,2015-12-26,100.25393548387096,114.2462095072552,86.26166146048672
0,period5_devfactor2.0,2015-12-27,96.6432258064516,97.29102685760353,95.99542475529967
0,period5_devfactor2.0,2015-12-28,96.41419354838708,97.061994599539,95.76639249723515
0,period5_devfactor2.0,2015-12-29,94.41721682319312,101.96097910991472,86.87345453647151
0,period5_devfactor2.0,2015-12-30,92.35709922417313,101.7446963358587,82.96950211248755
0,period5_devfactor2.0,2015-12-31,90.23384075132707,99.79127372359292,80.67640777906121
0,period5_devfactor2.0,2016-01-01,88.04744140465496,96.03081737995713,80.0640654293528
0,period5_devfactor2.0,2016-01-02,85.90684850959576,87.1773817370104,84.63631528218112
0,period5_devfactor2.0,2016-01-03,85.5800065332789,86.4515851367876,84.70842792977021
0,period5_devfactor2.0,2016-01-04,85.362111882401,85.79790118415535,84.92632258064664
0,period5_devfactor2.0,2016-01-05,82.36919831223629,93.90506329113911,70.83333333333347
0,period5_devfactor2.0,2016-01-06,79.0928511151296,94.23340587140062,63.95229635885859
